address,lat,lon,bed,bath,sqft,cost,url
"3223 S NINA LOOP, Garden City UT 84028",41.88932266,-111.3694993,2,1,728,168000,https://www.utahshortsale.com/property_listing/2069690/mlsname/WFRMLS/ltype/res/3223-S-NINA-LOOP-Garden-City-UT-84028
"47 B ST, Helper UT 84526",39.69113326,-110.8544444,4,1,2244,150000,https://www.utahshortsale.com/property_listing/2100514/mlsname/WFRMLS/ltype/res/47-B-ST-Helper-UT-84526
"245 S 200 E, Price UT 84501",39.59583149,-110.8069618,3,1,1709,160000,https://www.utahshortsale.com/property_listing/2077744/mlsname/WFRMLS/ltype/res/245-S-200-E-Price-UT-84501
"331 W 300 N, Blanding UT 84511",37.62930877,-109.4840124,2,1,600,160000,https://www.utahshortsale.com/property_listing/2099971/mlsname/WFRMLS/ltype/res/331-W-300-N-Blanding-UT-84511
"1465 W ARTHUR DR, Provo UT 84601",40.24344057,-111.6841471,2,2,976,164900,https://www.utahshortsale.com/property_listing/2078879/mlsname/WFRMLS/ltype/res/1465-W-ARTHUR-DR-Provo-UT-84601
"182 W 200 S, Goshen UT 84633",39.94862152,-111.9054434,2,2,1120,165000,https://www.utahshortsale.com/property_listing/2104254/mlsname/WFRMLS/ltype/res/182-W-200-S-Goshen-UT-84633


https://www.utahshortsale.com/property_listing/2107835/mlsname/WFRMLS/ltype/res/5182-N-970-E-Scofield-UT-84526
https://www.utahshortsale.com/property_listing/2100081/mlsname/WFRMLS/ltype/res/2880-S-MERTON-WAY-Magna-UT-84044
https://www.utahshortsale.com/property_listing/2103502/mlsname/WFRMLS/ltype/res/298-E-UNION-ST-Manti-UT-84642
https://www.buyidahorealestate.com/property-search/detail/41/98959444/2171-hwy-95-council-id-83612-0000/
